marketing_id,month,zone,channel,spend,impressions,clicks,conversions
MKT000431,2025-01,West,Influencer,53793.52,1017949,30685,1487
MKT000432,2025-01,West,Offline/Print,22776.97,529565,10839,428
MKT000433,2025-01,East,Paid Social,74689.93,1535258,50268,1712
MKT000434,2025-01,East,Search,48746.96,957028,31638,920
MKT000435,2025-01,East,Influencer,54442.54,1096836,35016,1520
MKT000436,2025-01,East,Offline/Print,20298.1,467742,14868,486
MKT000437,2025-01,Central,Paid Social,26304.02,642418,14810,835
MKT000438,2025-01,Central,Search,17422.32,356215,5266,188
MKT000439,2025-01,Central,Influencer,17899.64,371078,11991,387
MKT000440,2025-01,Central,Offline/Print,7339.33,140310,2101,116
MKT000441,2025-02,North,Paid Social,250944.95,5515000,166404,9092
MKT000442,2025-02,North,Search,169564.4,3405672,66788,2513
MKT000443,2025-02,North,Influencer,182875.98,4332276,110830,6266
MKT000444,2025-02,North,Offline/Print,59266.72,1213958,27902,1540
MKT000445,2025-02,South,Paid Social,72369.1,1641444,31406,1705
MKT000446,2025-02,South,Search,50875.31,942990,23870,724
MKT000447,2025-02,South,Influencer,46136.59,961075,32945,1224
MKT000448,2025-02,South,Offline/Print,21795.01,476587,15911,672
MKT000449,2025-02,West,Paid Social,84230.31,2010960,45834,2286
MKT000450,2025-02,West,Search,52704.81,1137394,24647,1383
MKT000451,2025-02,West,Influencer,57824.39,1300815,30322,2316
MKT000452,2025-02,West,Offline/Print,19845.9,500321,6154,351
MKT000453,2025-02,East,Paid Social,62647.65,1140469,17284,890
MKT000454,2025-02,East,Search,50225.11,1116316,20015,760
MKT000455,2025-02,East,Influencer,42456.01,967166,30259,1142
MKT000456,2025-02,East,Offline/Print,20170.57,464284,11209,537
MKT000457,2025-02,Central,Paid Social,27680.54,502703,14472,816
MKT000458,2025-02,Central,Search,15067.89,330482,10824,221
MKT000459,2025-02,Central,Influencer,16458.3,343969,8585,179
MKT000460,2025-02,Central,Offline/Print,6702.94,151026,1897,79
MKT000461,2025-03,North,Paid Social,265778.46,5489598,153114,6446
MKT000462,2025-03,North,Search,197483.65,4505402,55546,1923
MKT000463,2025-03,North,Influencer,153961.11,3004251,84595,2070
MKT000464,2025-03,North,Offline/Print,76947.29,1792265,31600,1099
MKT000465,2025-03,South,Paid Social,92584.06,1670055,21738,1487
MKT000466,2025-03,South,Search,46169.56,891569,28173,1439
MKT000467,2025-03,South,Influencer,44770.47,1096512,26632,1472
MKT000468,2025-03,South,Offline/Print,22968.78,501784,8923,479
MKT000469,2025-03,West,Paid Social,96948.59,1747962,31941,1856
MKT000470,2025-03,West,Search,50684.04,1011390,23531,1218
MKT000471,2025-03,West,Influencer,62590.42,1357488,19787,802
MKT000472,2025-03,West,Offline/Print,20687.87,512221,13107,835
MKT000473,2025-03,East,Paid Social,83478.64,1598930,27240,1541
MKT000474,2025-03,East,Search,55214.17,1093472,25330,1072
MKT000475,2025-03,East,Influencer,48781.83,1071809,20447,832
MKT000476,2025-03,East,Offline/Print,21597.1,432195,6999,305
MKT000477,2025-03,Central,Paid Social,28042.58,629505,21593,973
MKT000478,2025-03,Central,Search,15600.65,377770,6266,176
MKT000479,2025-03,Central,Influencer,19875.02,459619,15858,862
MKT000480,2025-03,Central,Offline/Print,7949.75,159361,5235,148
